ts=2026-09-25T07:13:53.290Z level=INFO event=start version=0.2.0 git_commit=3600844218a5a90ebe7f3fd4dd482e3ef1dfb772 argv="data/cut.mp4 --output-dir results/reference"
ts=2026-09-25T07:13:59.752Z level=INFO event=block block=12 samples=110-119 video_t_s=11.90 wall_ms=149.13 ms_per_frame=14.91 inf_per_s=67.06 speed=6.71 decode_ms=2.52 preprocess_ms=42.50 fingerprint_ms=5.29 inference_ms=97.75 write_ms=0.77 other_ms=0.30 yolo_preprocess_ms=10.28 yolo_inference_ms=71.69 yolo_postprocess_ms=8.12 cpu_cores=1.77 gpu_mem_mb=50.25 elapsed_s=1.81
ts=2026-09-25T07:13:59.893Z level=INFO event=block block=13 samples=120-129 video_t_s=12.90 wall_ms=140.92 ms_per_frame=14.09 inf_per_s=70.96 speed=7.10 decode_ms=2.42 preprocess_ms=34.23 fingerprint_ms=5.03 inference_ms=98.17 write_ms=0.78 other_ms=0.28 yolo_preprocess_ms=9.77 yolo_inference_ms=73.04 yolo_postprocess_ms=7.80 cpu_cores=1.90 gpu_mem_mb=50.25 elapsed_s=1.96
ts=2026-09-25T07:14:00.034Z level=INFO event=block block=14 samples=130-139 video_t_s=13.90 wall_ms=140.22 ms_per_frame=14.02 inf_per_s=71.32 speed=7.13 decode_ms=2.33 preprocess_ms=33.40 fingerprint_ms=5.50 inference_ms=97.88 write_ms=0.81 other_ms=0.30 yolo_preprocess_ms=10.10 yolo_inference_ms=72.71 yolo_postprocess_ms=7.76 cpu_cores=1.89 gpu_mem_mb=50.25 elapsed_s=2.10
ts=2026-09-25T07:14:00.181Z level=INFO event=block block=15 samples=140-149 video_t_s=14.90 wall_ms=147.64 ms_per_frame=14.76 inf_per_s=67.73 speed=6.77 decode_ms=2.27 preprocess_ms=34.61 fingerprint_ms=5.28 inference_ms=104.44 write_ms=0.76 other_ms=0.27 yolo_preprocess_ms=10.99 yolo_inference_ms=77.68 yolo_postprocess_ms=7.92 cpu_cores=1.85 gpu_mem_mb=50.25 elapsed_s=2.24
ts=2026-09-25T07:14:00.336Z level=INFO event=block block=16 samples=150-159 video_t_s=15.90 wall_ms=155.05 ms_per_frame=15.51 inf_per_s=64.50 speed=6.45 decode_ms=2.54 preprocess_ms=41.72 fingerprint_ms=5.57 inference_ms=104.23 write_ms=0.74 other_ms=0.26 yolo_preprocess_ms=10.91 yolo_inference_ms=77.99 yolo_postprocess_ms=7.69 cpu_cores=1.82 gpu_mem_mb=50.25 elapsed_s=2.40
ts=2026-09-25T07:14:00.482Z level=INFO event=block block=17 samples=160-169 video_t_s=16.90 wall_ms=145.32 ms_per_frame=14.53 inf_per_s=68.81 speed=6.88 decode_ms=2.44 preprocess_ms=36.07 fingerprint_ms=5.04 inference_ms=100.77 write_ms=0.74 other_ms=0.27 yolo_preprocess_ms=10.06 yolo_inference_ms=75.26 yolo_postprocess_ms=8.12 cpu_cores=1.85 gpu_mem_mb=50.25 elapsed_s=2.54
ts=2026-09-25T07:14:00.638Z level=INFO event=block block=18 samples=170-179 video_t_s=17.90 wall_ms=156.83 ms_per_frame=15.68 inf_per_s=63.76 speed=6.38 decode_ms=2.31 preprocess_ms=41.07 fingerprint_ms=5.14 inference_ms=107.30 write_ms=0.75 other_ms=0.27 yolo_preprocess_ms=11.23 yolo_inference_ms=81.02 yolo_postprocess_ms=7.95 cpu_cores=1.73 gpu_mem_mb=50.25 elapsed_s=2.70
ts=2026-09-25T07:14:00.796Z level=INFO event=block block=19 samples=180-189 video_t_s=18.90 wall_ms=157.11 ms_per_frame=15.71 inf_per_s=63.65 speed=6.36 decode_ms=2.75 preprocess_ms=39.33 fingerprint_ms=5.78 inference_ms=108.19 write_ms=0.79 other_ms=0.27 yolo_preprocess_ms=10.62 yolo_inference_ms=81.71 yolo_postprocess_ms=8.17 cpu_cores=1.79 gpu_mem_mb=50.25 elapsed_s=2.86
ts=2026-09-25T07:14:00.947Z level=INFO event=block block=20 samples=190-199 video_t_s=19.90 wall_ms=151.46 ms_per_frame=15.15 inf_per_s=66.03 speed=6.60 decode_ms=2.32 preprocess_ms=35.35 fingerprint_ms=5.13 inference_ms=107.54 write_ms=0.84 other_ms=0.28 yolo_preprocess_ms=10.51 yolo_inference_ms=81.15 yolo_postprocess_ms=8.08 cpu_cores=1.86 gpu_mem_mb=50.25 elapsed_s=3.01
ts=2026-09-25T07:14:01.097Z level=INFO event=block block=21 samples=200-209 video_t_s=20.90 wall_ms=150.44 ms_per_frame=15.04 inf_per_s=66.47 speed=6.65 decode_ms=2.55 preprocess_ms=35.20 fingerprint_ms=5.04 inference_ms=106.63 write_ms=0.74 other_ms=0.27 yolo_preprocess_ms=10.62 yolo_inference_ms=80.42 yolo_postprocess_ms=7.96 cpu_cores=1.89 gpu_mem_mb=50.25 elapsed_s=3.16
ts=2026-09-25T07:14:01.255Z level=INFO event=block block=22 samples=210-219 video_t_s=21.90 wall_ms=157.59 ms_per_frame=15.76 inf_per_s=63.45 speed=6.35 decode_ms=2.45 preprocess_ms=40.39 fingerprint_ms=5.68 inference_ms=108.04 write_ms=0.74 other_ms=0.28 yolo_preprocess_ms=10.46 yolo_inference_ms=81.66 yolo_postprocess_ms=8.48 cpu_cores=1.82 gpu_mem_mb=50.25 elapsed_s=3.32
ts=2026-09-25T07:14:01.408Z level=INFO event=block block=23 samples=220-229 video_t_s=22.90 wall_ms=153.08 ms_per_frame=15.31 inf_per_s=65.32 speed=6.53 decode_ms=2.67 preprocess_ms=36.96 fingerprint_ms=5.47 inference_ms=106.93 write_ms=0.77 other_ms=0.28 yolo_preprocess_ms=10.29 yolo_inference_ms=81.24 yolo_postprocess_ms=7.81 cpu_cores=1.91 gpu_mem_mb=50.25 elapsed_s=3.47
ts=2026-09-25T07:14:01.558Z level=INFO event=block block=24 samples=230-239 video_t_s=23.90 wall_ms=149.73 ms_per_frame=14.97 inf_per_s=66.79 speed=6.68 decode_ms=2.72 preprocess_ms=34.07 fingerprint_ms=5.48 inference_ms=106.38 write_ms=0.79 other_ms=0.29 yolo_preprocess_ms=10.43 yolo_inference_ms=80.27 yolo_postprocess_ms=7.94 cpu_cores=1.87 gpu_mem_mb=50.25 elapsed_s=3.62
ts=2026-09-25T07:14:01.712Z level=INFO event=block block=25 samples=240-249 video_t_s=24.90 wall_ms=154.13 ms_per_frame=15.41 inf_per_s=64.88 speed=6.49 decode_ms=2.60 preprocess_ms=37.72 fingerprint_ms=5.32 inference_ms=107.35 write_ms=0.86 other_ms=0.29 yolo_preprocess_ms=10.21 yolo_inference_ms=81.61 yolo_postprocess_ms=7.97 cpu_cores=1.89 gpu_mem_mb=50.25 elapsed_s=3.77
ts=2026-09-25T07:14:01.868Z level=INFO event=block block=26 samples=250-259 video_t_s=25.90 wall_ms=156.33 ms_per_frame=15.63 inf_per_s=63.97 speed=6.40 decode_ms=2.46 preprocess_ms=42.00 fingerprint_ms=5.86 inference_ms=104.92 write_ms=0.82 other_ms=0.27 yolo_preprocess_ms=10.38 yolo_inference_ms=78.56 yolo_postprocess_ms=8.07 cpu_cores=1.80 gpu_mem_mb=50.25 elapsed_s=3.93
ts=2026-09-25T07:14:02.021Z level=INFO event=block block=27 samples=260-269 video_t_s=26.90 wall_ms=153.07 ms_per_frame=15.31 inf_per_s=65.33 speed=6.53 decode_ms=2.35 preprocess_ms=37.87 fingerprint_ms=5.50 inference_ms=106.17 write_ms=0.89 other_ms=0.28 yolo_preprocess_ms=10.12 yolo_inference_ms=79.63 yolo_postprocess_ms=8.69 cpu_cores=1.84 gpu_mem_mb=50.25 elapsed_s=4.08
ts=2026-09-25T07:14:02.171Z level=INFO event=block block=28 samples=270-279 video_t_s=27.90 wall_ms=149.67 ms_per_frame=14.97 inf_per_s=66.82 speed=6.68 decode_ms=2.32 preprocess_ms=35.76 fingerprint_ms=4.95 inference_ms=105.49 write_ms=0.87 other_ms=0.27 yolo_preprocess_ms=9.89 yolo_inference_ms=80.12 yolo_postprocess_ms=8.07 cpu_cores=1.81 gpu_mem_mb=50.25 elapsed_s=4.23
ts=2026-09-25T07:14:02.329Z level=INFO event=block block=29 samples=280-289 video_t_s=28.90 wall_ms=157.46 ms_per_frame=15.75 inf_per_s=63.51 speed=6.35 decode_ms=2.91 preprocess_ms=42.50 fingerprint_ms=5.26 inference_ms=105.57 write_ms=0.94 other_ms=0.30 yolo_preprocess_ms=10.28 yolo_inference_ms=79.57 yolo_postprocess_ms=8.04 cpu_cores=1.77 gpu_mem_mb=50.25 elapsed_s=4.39
ts=2026-09-25T07:14:02.482Z level=INFO event=block block=30 samples=290-299 video_t_s=29.90 wall_ms=153.71 ms_per_frame=15.37 inf_per_s=65.06 speed=6.51 decode_ms=2.38 preprocess_ms=38.23 fingerprint_ms=5.59 inference_ms=106.28 write_ms=0.98 other_ms=0.26 yolo_preprocess_ms=10.90 yolo_inference_ms=78.95 yolo_postprocess_ms=8.39 cpu_cores=1.92 gpu_mem_mb=50.25 elapsed_s=4.54
ts=2026-09-25T07:14:02.637Z level=INFO event=block block=31 samples=300-309 video_t_s=30.90 wall_ms=154.82 ms_per_frame=15.48 inf_per_s=64.59 speed=6.46 decode_ms=2.86 preprocess_ms=39.88 fingerprint_ms=5.38 inference_ms=105.47 write_ms=0.95 other_ms=0.28 yolo_preprocess_ms=10.32 yolo_inference_ms=79.52 yolo_postprocess_ms=8.00 cpu_cores=1.83 gpu_mem_mb=50.25 elapsed_s=4.70
ts=2026-09-25T07:14:02.787Z level=INFO event=block block=32 samples=310-319 video_t_s=31.90 wall_ms=149.73 ms_per_frame=14.97 inf_per_s=66.79 speed=6.68 decode_ms=2.48 preprocess_ms=34.19 fingerprint_ms=4.95 inference_ms=106.85 write_ms=1.01 other_ms=0.25 yolo_preprocess_ms=10.43 yolo_inference_ms=80.42 yolo_postprocess_ms=8.19 cpu_cores=1.87 gpu_mem_mb=50.25 elapsed_s=4.85
ts=2026-09-25T07:14:02.937Z level=INFO event=block block=33 samples=320-329 video_t_s=32.90 wall_ms=150.15 ms_per_frame=15.02 inf_per_s=66.60 speed=6.66 decode_ms=2.74 preprocess_ms=35.84 fingerprint_ms=5.33 inference_ms=105.08 write_ms=0.88 other_ms=0.28 yolo_preprocess_ms=10.52 yolo_inference_ms=78.73 yolo_postprocess_ms=8.07 cpu_cores=1.85 gpu_mem_mb=50.25 elapsed_s=5.00
ts=2026-09-25T07:14:03.090Z level=INFO event=block block=34 samples=330-339 video_t_s=33.90 wall_ms=153.31 ms_per_frame=15.33 inf_per_s=65.23 speed=6.52 decode_ms=3.06 preprocess_ms=39.53 fingerprint_ms=5.54 inference_ms=104.01 write_ms=0.91 other_ms=0.26 yolo_preprocess_ms=10.49 yolo_inference_ms=77.99 yolo_postprocess_ms=7.97 cpu_cores=1.84 gpu_mem_mb=50.25 elapsed_s=5.15
ts=2026-09-25T07:14:03.237Z level=INFO event=block block=35 samples=340-349 video_t_s=34.90 wall_ms=147.10 ms_per_frame=14.71 inf_per_s=67.98 speed=6.80 decode_ms=2.22 preprocess_ms=34.95 fingerprint_ms=5.06 inference_ms=103.58 write_ms=1.02 other_ms=0.26 yolo_preprocess_ms=9.83 yolo_inference_ms=78.30 yolo_postprocess_ms=8.17 cpu_cores=1.82 gpu_mem_mb=50.25 elapsed_s=5.30
ts=2026-09-25T07:14:03.387Z level=INFO event=block block=36 samples=350-359 video_t_s=35.90 wall_ms=149.23 ms_per_frame=14.92 inf_per_s=67.01 speed=6.70 decode_ms=2.47 preprocess_ms=36.71 fingerprint_ms=5.38 inference_ms=103.77 write_ms=0.51 other_ms=0.39 yolo_preprocess_ms=10.26 yolo_inference_ms=78.26 yolo_postprocess_ms=7.96 cpu_cores=1.84 gpu_mem_mb=50.25 elapsed_s=5.45
ts=2026-09-25T07:14:03.535Z level=INFO event=block block=37 samples=360-369 video_t_s=36.90 wall_ms=148.68 ms_per_frame=14.87 inf_per_s=67.26 speed=6.73 decode_ms=2.70 preprocess_ms=37.86 fingerprint_ms=5.69 inference_ms=101.75 write_ms=0.42 other_ms=0.27 yolo_preprocess_ms=9.99 yolo_inference_ms=77.74 yolo_postprocess_ms=7.04 cpu_cores=1.86 gpu_mem_mb=50.25 elapsed_s=5.60
ts=2026-09-25T07:14:03.681Z level=INFO event=block block=38 samples=370-379 video_t_s=37.90 wall_ms=146.09 ms_per_frame=14.61 inf_per_s=68.45 speed=6.84 decode_ms=2.33 preprocess_ms=33.78 fingerprint_ms=5.01 inference_ms=104.28 write_ms=0.40 other_ms=0.29 yolo_preprocess_ms=10.51 yolo_inference_ms=78.93 yolo_postprocess_ms=7.90 cpu_cores=1.90 gpu_mem_mb=50.25 elapsed_s=5.74
ts=2026-09-25T07:14:03.828Z level=INFO event=block block=39 samples=380-389 video_t_s=38.90 wall_ms=146.59 ms_per_frame=14.66 inf_per_s=68.22 speed=6.82 decode_ms=2.40 preprocess_ms=34.61 fingerprint_ms=4.87 inference_ms=104.02 write_ms=0.40 other_ms=0.29 yolo_preprocess_ms=9.80 yolo_inference_ms=79.48 yolo_postprocess_ms=8.00 cpu_cores=1.86 gpu_mem_mb=50.25 elapsed_s=5.89
